id_presupuesto,plazo_ejecucion,fecha_presupuesto,fecha_validez,fecha_actualizacion,fecha_creacion,fecha_vencimiento,importe_presupuestado,total_sin_impuestos,total_con_impuestos,id_licitacion,beneficios_esperados,metodos_pago,moneda,porcentaje_descuento_acumulado,canal_entrada,cliente,comentarios,complejidad_general,dias_negociacion,estado_presupuesto,metodo_contacto,motivo_rechazo,numero_items,rating_comercial,responsable_comercial,sector_industria,segmento_cliente,categoria_licitada,aceptado,importe_presupuestado_media,importe_presupuestado_medio_segmento,importe_presupuestado_std,probabilidad_cierre_estimada,costo_total_personal,costo_total_maquinaria,costo_total_materiales,costo_total_imprevistos,costo_total,n_dias_planificados,dias_ejecucion_real,desviacion_coste,desviacion_duracion
PR723,13,2017-02-16,2017-03-18,2017-02-17,2017-02-14,2017-03-22,46853.19034274663,46853.19034274663,56692.360314723424,LIPR723,6236.27983293212,Cheque,EUR,3.4472587614973733,Telefónico,Instituto de Riego y Promoción Agraria de Murcia,Task stock help message look right hold contain.,1,4,Aceptado,Teléfono,0,4,5,Ana Martínez,Riego,Privado,Agrícola,True,45438.9552001467,44794.86798307713,9456.09302304823,93.2026899263444,4004.0,21322.61219887827,24879.724867977773,0.0,50206.33706685604,9,6,-2883.1331088227134,3
PR1211,227,2017-02-18,2017-03-20,2017-02-22,2017-02-14,2017-03-23,1244194.6817425978,1244194.6817425978,1505475.5649085434,LIPR1211,150331.91602331185,Progresivo,EUR,0.0,Digital,Administración Local de Oropesa,Attorney so fund something tonight deal real explain traditional like.,1,3,Aceptado,Email,0,9,2,María López,Agua Potable,Privado,Infraestructura,True,1196569.0440839771,1200738.4150724178,66885.36004922881,62.71753051795765,118360.00000000001,591791.1861622222,551759.462284802,0.0,1261910.6484470242,253,32,-132615.9493188855,221
PR1010,115,2017-02-19,2017-03-21,2017-02-15,2017-02-14,2017-03-28,567486.6013464709,567486.6013464709,686658.7876292297,LIPR1010,80486.2127785391,Progresivo,EUR,14.954910463422465,Digital,Ayuntamiento de Madrid - Servicios de Infraestructuras,Happen sit shoulder far hit challenge charge realize market out.,2,13,Aceptado,Email,0,13,4,Juan Pérez,Impermeabilización,Público,Otros,True,549701.8787000739,550788.432302039,31760.19086053934,71.56147242526751,26880.0,177030.95989872963,298077.92852025246,46463.63101648055,548452.5194354627,115,9,-99520.29468954733,106
PR167,28,2017-02-19,2017-03-21,2017-02-22,2017-02-14,2017-03-31,288422.68775944225,288422.68775944225,348991.4521889251,LIPR167,42644.669261316565,Retención,EUR,2.447212797262543,Telefónico,Consorcio Municipal de Agua de Toledo,Ground its challenge image air blue candidate.,1,3,Aceptado,Teléfono,0,3,4,José García,Agua Potable,Privado,Tratamiento,True,289905.4361511126,288434.093631625,70548.1804548662,73.55233654603926,20592.000000000004,108187.15362231171,131272.23093665045,17835.601503557304,277886.9860625195,26,14,-53180.370958239335,12
PR488,100,2017-02-27,2017-03-29,2017-03-01,2017-02-25,2017-04-01,804346.8575627764,804346.8575627764,973259.6976509596,LIPR488,75910.93909698466,Confirming,EUR,1.884336159891386,Digital,Gobierno Regional de Castilla-La Mancha - Departamento de Agua,Anything dark beautiful across food significant street.,1,4,Aceptado,Email,0,10,2,Ana Martínez,Agua Potable,Público,Distribución,True,746784.6346840662,750658.9928292787,82459.54389111296,71.49253805481067,53768.0,208703.88056444647,413580.5218426484,45049.96219121147,721102.3645983062,101,14,-159155.43206145483,87
PR1453,24,2017-02-28,2017-03-30,2017-03-04,2017-02-27,2017-04-04,117139.8572957416,117139.8572957416,141739.22732784733,LIPR1453,10398.908610019873,Confirming,EUR,8.932122552826975,Telefónico,Cooperativa Agraria de Riego y Desarrollo,Store item determine line leg.,3,12,Aceptado,Teléfono,0,7,2,Pedro Sánchez,Riego,Privado,Automático,True,114631.91025091078,114371.40757955068,4425.440904820535,53.32974975940744,10816.0,32953.25857701643,56191.47231995633,6008.019185450682,105968.75008242344,21,5,-21570.01582333803,16
PR71,36,2017-03-01,2017-03-31,2017-02-27,2017-02-25,2017-04-04,210449.5443980097,210449.5443980097,254643.94872159167,LIPR71,27040.00849439239,Progresivo,EUR,14.92445766727592,Presencial,Consorcio Municipal de Agua de Toledo,Son set campaign blood Democrat well traditional up nor.,3,16,Aceptado,Presencial,0,8,4,Ana Martínez,Agua Potable,Privado,Tratamiento,True,289905.4361511126,288434.093631625,70548.1804548662,61.00429178857967,23920.0,127588.44094373613,112625.62551009803,14537.449668570534,278671.5161224047,32,7,41181.96323000264,25
PR602,81,2017-03-02,2017-04-01,2017-03-06,2017-02-26,2017-04-02,793960.2247586722,793960.2247586722,960691.8719579933,LIPR602,89392.03740153239,Anticipado,EUR,0.0,Digital,Gobierno Regional de Castilla-La Mancha - Departamento de Agua,Market from company animal name.,1,7,Aceptado,Email,0,8,3,José García,Agua Potable,Público,Distribución,True,746784.6346840662,750658.9928292787,82459.54389111296,71.6474298734979,42328.0,101854.78369719857,442763.2815459175,0.0,586946.0652431161,82,13,-296406.19691708847,69
PR731,84,2017-03-02,2017-04-01,2017-03-11,2017-03-01,2017-04-07,537108.3014747632,537108.3014747632,649901.0447844635,LIPR731,78923.63876711643,Cheque,EUR,8.492214715813592,Telefónico,Ayuntamiento de Madrid - Servicios de Infraestructuras,Radio rock six business upon imagine end student.,1,7,Aceptado,Teléfono,0,7,5,María López,Impermeabilización,Público,Otros,True,549701.8787000739,550788.432302039,31760.19086053934,95.0,20944.0,154541.6301036225,240032.32036565774,26624.556323954283,442142.5067932345,88,15,-173889.4334486451,73
PR260,80,2017-03-03,2017-04-02,2017-03-03,2017-02-27,2017-04-06,786628.4178264048,786628.4178264048,951820.3855699498,LIPR260,103477.9883408837,Retención,EUR,6.611436554419612,Digital,Empresa Pública de Abastecimiento de Agua,Join capital security floor tonight change hour.,1,6,Aceptado,Email,0,6,2,Pedro Sánchez,Agua Potable,Privado,Distribución,True,746784.6346840662,750658.9928292787,82459.54389111296,59.28383879088474,35640.0,172099.6566494321,364381.9802786245,0.0,572121.6369280566,79,23,-317984.7692392319,56
PR1031,35,2017-03-05,2017-04-04,2017-03-11,2017-03-01,2017-04-12,149093.72662490443,149093.72662490443,180403.4092161344,LIPR1031,27492.102411685893,Retención,EUR,3.942706360818264,Telefónico,Concesionaria de Infraestructuras de Impermeabilización,Method attorney family big control important real dog clearly sea.,1,7,Aceptado,Teléfono,0,8,1,María López,Impermeabilización,Privado,Balsa,True,112680.626365045,112414.45855403256,26903.983575959217,56.08812687771838,14080.000000000002,43838.4961952489,62924.67859976694,9803.57536577529,130646.75016079113,31,6,-45939.0788757992,25
PR1549,111,2017-03-05,2017-04-04,2017-03-10,2017-03-03,2017-04-05,684154.8510376269,684154.8510376269,827827.3697555285,LIPR1549,90253.94414384828,Anticipado,EUR,12.275144879221084,Digital,Gobierno Regional de Castilla-La Mancha - Departamento de Agua,Push rule decade manage point attention now.,2,11,Aceptado,Email,0,9,5,Ana Martínez,Agua Potable,Público,Distribución,True,746784.6346840662,750658.9928292787,82459.54389111296,77.69705519635876,63648.0,137635.1782116651,328818.54871567705,0.0,530101.7269273421,106,15,-244307.068254133,91
PR1135,217,2017-03-06,2017-04-05,2017-03-12,2017-03-05,2017-04-13,1215696.196021022,1215696.196021022,1470992.397185437,LIPR1135,119456.99811384708,Progresivo,EUR,6.067776484351716,Digital,Gobierno Regional de Castilla-La Mancha - Departamento de Agua,Read million head ground baby.,1,6,Aceptado,Email,0,12,3,Ana Martínez,Agua Potable,Público,Infraestructura,True,1196569.0440839771,1200738.4150724178,66885.36004922881,63.76123653052494,180928.00000000003,799454.4887687697,701510.8391772853,16607.60049575569,1698500.928441811,252,27,363347.73430694174,225
PR1058,30,2017-03-07,2017-04-06,2017-03-05,2017-03-03,2017-04-14,93686.1807144444,93686.1807144444,113360.27866447772,LIPR1058,8278.815251517623,Contado,EUR,12.118711406458896,Presencial,Departamento de Agricultura y Desarrollo Rural de Andalucía,Add focus nice research magazine.,2,11,Aceptado,Presencial,0,4,2,María López,Riego,Privado,Parques,True,87548.47788968829,87362.51186738555,4264.501779009559,53.49937067088042,24768.0,129947.31742476838,46005.275691480245,0.0,200720.5931162486,32,12,98755.59715028659,20
PR964,41,2017-03-08,2017-04-07,2017-03-08,2017-03-03,2017-04-14,236064.7235877037,236064.7235877037,285638.31554112147,LIPR964,21279.561309451063,Anticipado,EUR,7.366017857682294,Telefónico,Gobierno Regional de Castilla-La Mancha - Departamento de Agua,My off ahead news miss body his.,1,7,Aceptado,Teléfono,0,5,5,Ana Martínez,Agua Potable,Público,Tratamiento,True,289905.4361511126,288434.093631625,70548.1804548662,81.61843619324267,25960.0,158640.79139651483,113722.29921705251,18475.50754124813,316798.59815481544,40,13,59454.31325766069,27
PR456,110,2017-03-09,2017-04-08,2017-03-05,2017-03-04,2017-04-09,713320.5931509389,713320.5931509389,863117.917712636,LIPR456,96172.2500102522,Retención,EUR,4.591882912326569,Digital,Ayuntamiento de Calatayud,Reveal Democrat everyone century star.,2,9,Aceptado,Email,0,13,4,Juan Pérez,Agua Potable,Público,Distribución,True,746784.6346840662,750658.9928292787,82459.54389111296,68.69134207861785,44640.0,203217.68547880455,335137.0458601008,20167.594907118782,603162.3262460241,105,11,-206330.51691516695,94
PR1243,263,2017-03-11,2017-04-10,2017-03-12,2017-03-06,2017-04-16,1156146.2871787543,1156146.2871787543,1398937.0074862926,LIPR1243,188415.5943700145,Transferencia,EUR,6.524075462302585,Digital,Administración Local de Oropesa,Dream even include smile head TV relationship author travel.,1,7,Aceptado,Email,0,11,3,Juan Pérez,Agua Potable,Privado,Infraestructura,True,1196569.0440839771,1200738.4150724178,66885.36004922881,74.46178604676085,128920.00000000001,630731.6970846597,512992.26428282366,0.0,1272643.9613674833,304,34,-71917.92018128559,270
PR691,13,2017-03-12,2017-04-11,2017-03-13,2017-03-09,2017-04-15,43162.062252247015,43162.062252247015,52226.095325218885,LIPR691,6194.6902995220935,Contado,EUR,5.911513291367955,Digital,Departamento de Agricultura y Desarrollo Rural de Andalucía,Next spend task general media new board sell over.,1,3,Aceptado,Email,0,4,4,María López,Riego,Privado,Agrícola,True,45438.9552001467,44794.86798307713,9456.09302304823,82.96492645428496,5720.0,17898.63668170677,22532.493694550503,0.0,46151.13037625727,9,7,-3205.6221755118368,2
PR1201,10,2017-03-12,2017-04-11,2017-03-13,2017-03-11,2017-04-15,43597.38138668676,43597.38138668676,52752.83147789098,LIPR1201,5037.719002289774,Factoring,EUR,2.2227789229310724,Digital,Departamento de Agricultura y Desarrollo Rural de Andalucía,Defense measure local record control own yard unit.,1,3,Aceptado,Redes Sociales,0,4,1,Pedro Sánchez,Riego,Privado,Agrícola,True,45438.9552001467,44794.86798307713,9456.09302304823,60.41042872524565,4840.0,14970.401439468736,20742.85518636681,0.0,40553.25662583555,8,4,-8081.84376314098,4
PR850,18,2017-03-12,2017-04-11,2017-03-13,2017-03-08,2017-04-19,57382.81732265461,57382.81732265461,69433.20896041208,LIPR850,8203.564295686423,Contado,EUR,2.8241192983687946,Presencial,Comunidad de Regantes de la Costa Tropical,Police until operation campaign teacher almost outside.,1,7,Aceptado,Presencial,0,4,2,Ana Martínez,Riego,Privado,Agrícola,True,45438.9552001467,44794.86798307713,9456.09302304823,65.8301725250198,5852.000000000001,31591.437870978698,26102.4472772261,0.0,63545.8851482048,13,6,-2040.4964701362387,7
PR1550,54,2017-03-16,2017-04-15,2017-03-19,2017-03-15,2017-04-21,356262.80323127407,356262.80323127407,431077.9919098416,LIPR1550,47521.85508292635,Anticipado,EUR,3.135103592865917,Telefónico,Empresa Pública de Abastecimiento de Agua,Already either kind provide forward sense usually.,3,8,Aceptado,Teléfono,0,9,3,José García,Agua Potable,Privado,Tratamiento,True,289905.4361511126,288434.093631625,70548.1804548662,56.739493124061,41080.0,213804.65355465407,177561.82013071305,34432.80911346228,466879.2827988294,53,11,63094.624484628956,42
PR293,24,2017-03-17,2017-04-16,2017-03-22,2017-03-13,2017-04-25,234605.1993083316,234605.1993083316,283872.2911630812,LIPR293,29380.08374761078,Pagaré,EUR,3.5943421836132763,Telefónico,Gobierno Regional de Castilla-La Mancha - Departamento de Agua,Old food author over among mean with answer throw cause rather.,1,7,Aceptado,Teléfono,0,3,2,José García,Agua Potable,Público,Tratamiento,True,289905.4361511126,288434.093631625,70548.1804548662,56.14267683299303,14080.0,82336.595411385,119186.99998087857,0.0,215603.59539226355,24,12,-48381.68766367882,12
PR222,24,2017-03-20,2017-04-19,2017-03-23,2017-03-16,2017-04-23,237014.17153249375,237014.17153249375,286787.1475543175,LIPR222,36695.25781461929,Anticipado,EUR,8.910756251137874,Digital,Consorcio Municipal de Agua de Toledo,Dark draw forget challenge economy authority resource I wrong man.,2,9,Aceptado,Email,0,5,3,José García,Agua Potable,Privado,Tratamiento,True,289905.4361511126,288434.093631625,70548.1804548662,59.29046301415303,14880.0,83008.80108653003,124748.98306040882,5268.2288930270615,227906.01303996588,21,9,-45803.41630714716,12
PR228,30,2017-03-21,2017-04-20,2017-03-18,2017-03-17,2017-04-22,112587.3245814344,112587.3245814344,136230.66274353562,LIPR228,10900.93107047363,Retención,EUR,1.6033240747372384,Digital,Gobierno Regional de Extremadura - Oficina de Riego,Source opportunity make down television.,2,5,Aceptado,Redes Sociales,0,4,3,María López,Riego,Público,Automático,True,114631.91025091078,114371.40757955068,4425.440904820535,63.569604469496525,13728.0,46856.04342990964,48038.639503294675,3454.1969192832453,112076.87985248756,25,11,-11411.375799420468,14
PR459,212,2017-03-22,2017-04-21,2017-03-22,2017-03-20,2017-04-24,1140275.4787197632,1140275.4787197632,1379733.329250913,LIPR459,105334.05380065404,Progresivo,EUR,10.864986113973492,Digital,Empresa Pública de Abastecimiento de Agua,Enjoy score stay statement stage go indeed prove like.,3,19,Aceptado,Email,0,10,5,José García,Agua Potable,Privado,Infraestructura,True,1196569.0440839771,1200738.4150724178,66885.36004922881,82.94885633861053,184704.0,692774.2597773008,360019.7828893664,22783.968562076818,1260282.011228744,237,25,14672.478708326671,212
PR696,90,2017-03-23,2017-04-22,2017-03-30,2017-03-20,2017-04-28,713190.979415334,713190.979415334,862961.0850925541,LIPR696,105516.89639397112,Contado,EUR,4.871637559696166,Telefónico,Empresa Pública de Abastecimiento de Agua,Tend arm audience month property dinner.,1,7,Aceptado,Teléfono,0,5,3,María López,Agua Potable,Privado,Distribución,True,746784.6346840662,750658.9928292787,82459.54389111296,72.74539955195814,57772.0,130574.1559497668,298718.5040885463,0.0,487064.6600383131,92,38,-331643.215770992,54
PR713,22,2017-03-27,2017-04-26,2017-03-27,2017-03-23,2017-04-29,89596.7237505614,89596.7237505614,108412.0357381793,LIPR713,11846.882635512731,Pagaré,EUR,1.5741029535659647,Presencial,Cooperativa Agraria de Riego y Desarrollo,Myself dinner check table respond eye miss.,2,7,Aceptado,Presencial,0,5,3,Ana Martínez,Riego,Privado,Parques,True,87548.47788968829,87362.51186738555,4264.501779009559,67.88145231486074,18432.0,101772.2833964065,54022.25368465547,15313.434107442847,189539.97118850483,24,8,88096.3648024307,16
PR147,27,2017-03-28,2017-04-27,2017-04-05,2017-03-26,2017-05-04,128941.4086020139,128941.4086020139,156019.1044084368,LIPR147,19885.789867901112,Factoring,EUR,5.112878802920882,Digital,Gobierno Local de Barcelona - Obras y Conservación,Suggest cover production quality whose director now pretty.,2,9,Rechazado,Email,0,4,5,María López,Impermeabilización,Público,Balsa,False,112680.626365045,112414.45855403256,26903.983575959217,82.30525812815479,12480.0,33555.589740838754,68021.39999754085,6853.859104571749,120910.84884295135,23,8,-27916.349626963653,15
PR710,36,2017-03-28,2017-04-27,2017-03-26,2017-03-25,2017-04-29,382892.3070100236,382892.3070100236,463299.6914821285,LIPR710,47929.97010711599,Progresivo,EUR,6.670064290225912,Telefónico,Consorcio Municipal de Agua de Toledo,Reflect difference form Congress anyone more girl public environmental than.,1,7,Rechazado,Teléfono,Incompatibilidad técnica,7,4,María López,Agua Potable,Privado,Tratamiento,False,289905.4361511126,288434.093631625,70548.1804548662,76.0681987104058,20240.000000000004,126374.50923499107,178933.19171452473,3962.212299557536,329509.9132490733,34,8,-101312.36386806628,26
